,Unnamed: 0,+/-,3PA,3PM,AST,BLK,DKPoints,DREB,FGA,FGM,FTA,FTM,MIN,OREB,PF,PTS,REB,STL,TO,game_id,player,team,away_team_losses,away_team_wins,date,home_team,home_team_losses,home_team_score,home_team_wins,visit_team,visit_team_score,Home
706,706,-2.0,0.0,0.0,0.0,0.0,4.5,2.0,2.0,1.0,0.0,0.0,12.0,0.0,1.0,2.0,2.0,0.0,0.0,400827896.0,Lavoy Allen,Indiana Pacers,1,0,2015-10-28 00:00:00,Toronto Raptors,0,106,1,Indiana Pacers,99,0
2311,2311,-30.0,1.0,0.0,2.0,0.0,6.75,1.0,3.0,1.0,1.0,1.0,18.0,0.0,2.0,3.0,1.0,0.0,1.0,400827902.0,Alonzo Gee,New Orleans Pelicans,2,0,2015-10-28 00:00:00,Portland Trail Blazers,0,112,1,New Orleans Pelicans,94,0
705,705,-6.0,8.0,4.0,1.0,0.0,27.25,0.0,14.0,6.0,2.0,2.0,36.0,1.0,3.0,18.0,1.0,3.0,3.0,400827896.0,C.J. Miles,Indiana Pacers,1,0,2015-10-28 00:00:00,Toronto Raptors,0,106,1,Indiana Pacers,99,0
704,704,-1.0,7.0,5.0,2.0,1.0,33.25,3.0,10.0,6.0,3.0,2.0,38.0,0.0,5.0,19.0,3.0,2.0,2.0,400827896.0,George Hill,Indiana Pacers,1,0,2015-10-28 00:00:00,Toronto Raptors,0,106,1,Indiana Pacers,99,0
703,703,-5.0,1.0,0.0,6.0,0.0,21.0,0.0,11.0,3.0,4.0,3.0,29.0,0.0,4.0,9.0,0.0,2.0,2.0,400827896.0,Monta Ellis,Indiana Pacers,1,0,2015-10-28 00:00:00,Toronto Raptors,0,106,1,Indiana Pacers,99,0
702,702,-5.0,0.0,0.0,3.0,2.0,32.0,5.0,8.0,5.0,0.0,0.0,25.0,3.0,6.0,10.0,8.0,2.0,1.0,400827896.0,Ian Mahinmi,Indiana Pacers,1,0,2015-10-28 00:00:00,Toronto Raptors,0,106,1,Indiana Pacers,99,0
2310,2310,-2.0,9.0,3.0,1.0,0.0,36.25,9.0,20.0,9.0,1.0,0.0,39.0,0.0,1.0,21.0,9.0,1.0,2.0,400827902.0,Ryan Anderson,New Orleans Pelicans,2,0,2015-10-28 00:00:00,Portland Trail Blazers,0,112,1,New Orleans Pelicans,94,0
2305,2305,9.0,3.0,0.0,1.0,0.0,11.0,6.0,3.0,0.0,0.0,0.0,31.0,0.0,3.0,0.0,6.0,1.0,0.0,400827902.0,Dante Cunningham,New Orleans Pelicans,2,0,2015-10-28 00:00:00,Portland Trail Blazers,0,112,1,New Orleans Pelicans,94,0
2306,2306,-8.0,5.0,3.0,0.0,2.0,47.5,8.0,17.0,10.0,4.0,2.0,41.0,2.0,1.0,25.0,10.0,2.0,2.0,400827902.0,Anthony Davis,New Orleans Pelicans,2,0,2015-10-28 00:00:00,Portland Trail Blazers,0,112,1,New Orleans Pelicans,94,0
2307,2307,-16.0,0.0,0.0,0.0,0.0,9.0,3.0,4.0,2.0,0.0,0.0,9.0,1.0,0.0,4.0,4.0,0.0,0.0,400827902.0,Kendrick Perkins,New Orleans Pelicans,2,0,2015-10-28 00:00:00,Portland Trail Blazers,0,112,1,New Orleans Pelicans,94,0
2309,2309,-22.0,8.0,3.0,3.0,0.0,30.0,1.0,13.0,6.0,7.0,5.0,41.0,1.0,1.0,20.0,2.0,1.0,1.0,400827902.0,Eric Gordon,New Orleans Pelicans,2,0,2015-10-28 00:00:00,Portland Trail Blazers,0,112,1,New Orleans Pelicans,94,0
701,701,-4.0,4.0,0.0,8.0,0.0,50.0,9.0,17.0,4.0,10.0,9.0,37.0,3.0,3.0,17.0,12.0,3.0,3.0,400827896.0,Paul George,Indiana Pacers,1,0,2015-10-28 00:00:00,Toronto Raptors,0,106,1,Indiana Pacers,99,0
723,723,-3.0,1.0,0.0,1.0,0.0,5.5,2.0,4.0,1.0,2.0,1.0,28.0,0.0,1.0,3.0,2.0,0.0,3.0,400827896.0,Cory Joseph,Toronto Raptors,1,0,2015-10-28 00:00:00,Toronto Raptors,0,106,1,Indiana Pacers,99,1
